"gene_id","gene_name","chromosome","locus","rpkm"
,"Kcnb2",1,"chr1:15302532-15704295",0.075224
,"Terf1",1,"chr1:15795738-15833510",26.3467
,"Gm106",1,"chr1:15843942-15882803",0.301816
,"4930444P10Rik",1,"chr1:16056059-16083122",0
,"Rpl7",1,"chr1:16091375-16094514",86.6541
,"Rdh10",1,"chr1:16095962-16122631",13.0137
,"Stau2",1,"chr1:16218890-16509383",1.218657
,"Ube2w",1,"chr1:16559486-16609367",12.3791
,"Tceb1",1,"chr1:16632845-16646946",60.7517
,"D030040B21Rik",1,"chr1:16647632-16652359",0.016508
,"Tmem70",1,"chr1:16655271-16668356",22.760376
,"Ly96",1,"chr1:16678536-16699686",11.05803
,"Jph1",1,"chr1:16985020-17087970",0.268814
,"Gdap1",1,"chr1:17135453-17154351",0.045716
,"Pi15",1,"chr1:17591981-17621020",0.736699
,"Crispld1",1,"chr1:17717497-17756288",5.52102
,"Crisp4",1,"chr1:18105271-18127132",0
,"Defb44-ps",1,"chr1:18200133-18213645",0
,"Defb18",1,"chr1:18226553-18227524",0
,"Defb41",1,"chr1:18241058-18255219",0
,"Gm15386",1,"chr1:18250604-18255219",0
,"Tfap2d",1,"chr1:19093102-19156413",0
,"Tfap2b",1,"chr1:19198994-19228815",0
,"Pkhd1",1,"chr1:20047859-20608138",0.006708
,"4930486I03Rik",1,"chr1:20346534-20382381",0
,"Mir206",1,"chr1:20669090-20669163",0
,"Mir133b",1,"chr1:20672849-20672968",0
,"Il17a",1,"chr1:20720985-20724577",0
,"Il17f",1,"chr1:20767229-20774351",0.043891
,"Mcm3",1,"chr1:20793094-20810294",103.702
,"6720483E21Rik",1,"chr1:20878730-20880554",0.046522
,"Paqr8",1,"chr1:20880702-20928837",0.860202
,"Efhc1",1,"chr1:20941706-20980922",0.297955
,"Tram2",1,"chr1:20991458-21069306",2.402173
,"Tmem14a",1,"chr1:21208711-21220248",0.61011
,"Gsta3",1,"chr1:21230669-21255640",7.515878
,"Gm4956",1,"chr1:21275326-21288393",5.50762
,"Khdc1a",1,"chr1:21339757-21342280",0
,"Khdc1c",1,"chr1:21358411-21359824",0
,"Khdc1b",1,"chr1:21373636-21376465",0
,"Kcnq5",1,"chr1:21388483-21952023",0.469962
,"Rims1",1,"chr1:22278502-22812563",0.012659
,"4933415F23Rik",1,"chr1:23107312-23109092",0
,"Mir30a",1,"chr1:23279107-23279178",0
,"Mir30c-2",1,"chr1:23298539-23298623",0
,"Ogfrl1",1,"chr1:23373262-23390014",14.8324
,"B3gat2",1,"chr1:23768764-23854697",2.1377
,"Smap1",1,"chr1:23852465-23929128",65.3155
,"1110058L19Rik",1,"chr1:24002777-24012479",27.9378
,"Fam135a",1,"chr1:24017596-24107180",1.969
,"Col9a1",1,"chr1:24184448-24259577",0.011581
,"Col19a1",1,"chr1:24264521-24594276",0.144478
,"Lmbrd1",1,"chr1:24685382-24823146",12.3368
,"Bai3",1,"chr1:25124320-25886552",0.104306
,"Gm20172",1,"chr1:25333248-25334799",0
,"4931408C20Rik",1,"chr1:26738645-26744305",0
,"Gm597",1,"chr1:28832966-28837097",0
,"Phf3",1,"chr1:30859186-30920101",21.1708
,"Ptp4a1",1,"chr1:30997147-31006600",2.01096
,"Gm13363",1,"chr1:30998436-31006555",0
,"4931428L18Rik",1,"chr1:31197922-31279501",0
,"Lgsn",1,"chr1:31233279-31261570",0
,"4930521A18Rik",1,"chr1:31279683-31281132",0
,"Gm4850",1,"chr1:31321691-31324906",0.059993
,"Khdrbs2",1,"chr1:32229650-32714583",0.036907
,"Gm9839",1,"chr1:32576407-32577844",0
,"Gm5415",1,"chr1:32600390-32604138",0
,"Prim2",1,"chr1:33510655-33726603",36.4443
,"1700001G17Rik",1,"chr1:33726668-33727557",0.248714
,"Rab23",1,"chr1:33776740-33799409",1.619702
,"Bag2",1,"chr1:33802328-33814595",24.5375
,"Zfp451",1,"chr1:33818597-33871272",7.7625
,"Gm15455",1,"chr1:33892743-33895759",1.13777
,"Bend6",1,"chr1:33908896-33964466",1.02135
,"Dst",1,"chr1:34068669-34365497",3.741283
,"Mir5103",1,"chr1:34489965-34490044",0
,"Ccdc115",1,"chr1:34493514-34496517",10.8234
,"Imp4",1,"chr1:34496673-34502592",19.709
,"Ptpn18",1,"chr1:34516590-34530624",19.4962
,"Prss39",1,"chr1:34555274-34559907",0.327235
,"Cfc1",1,"chr1:34592492-34601156",0
,"Prss40",1,"chr1:34609176-34617788",0
,"Fam123c",1,"chr1:34636537-34647789",0.010276
,"AA619741",1,"chr1:34690379-34693055",0
,"Arhgef4",1,"chr1:34858566-34869599",2.03934
,"Fam168b",1,"chr1:34870062-34899895",41.56967
,"Plekhb2",1,"chr1:34906803-34936430",15.65208
,"Hs6st1",1,"chr1:36125244-36163291",33.0017
,"Uggt1",1,"chr1:36196872-36301147",12.8577
,"Neurl3",1,"chr1:36321446-36330270",17.356
,"Arid5a",1,"chr1:36364577-36380874",4.148676
,"4632411B12Rik",1,"chr1:36392574-36426026",17.97
,"Lman2l",1,"chr1:36480030-36502084",5.2126
,"Cnnm4",1,"chr1:36528441-36565621",1.73473
,"Cnnm3",1,"chr1:36568720-36585082",3.375692
,"Ankrd23",1,"chr1:36587378-36592574",2.14448
,"Ankrd39",1,"chr1:36595017-36604046",3.28846
,"Sema4c",1,"chr1:36605486-36615226",4.56137
,"Fam178b",1,"chr1:36619540-36740028",0.36429
,"Cox5b",1,"chr1:36748331-36750233",0.46592
,"Actr1b",1,"chr1:36756046-36766770",21.5631
,"4933424G06Rik",1,"chr1:36771382-36814805",0.04617
,"Zap70",1,"chr1:36818705-36839661",6.02191
,"Tmem131",1,"chr1:36849033-36996372",21.4632
,"Cnga3",1,"chr1:37276105-37320229",0.414446
,"Inpp4a",1,"chr1:37356737-37467580",7.04804
,"6330578E17Rik",1,"chr1:37473929-37486948",37.8236
,"Unc50",1,"chr1:37487016-37495969",34.0549
,"Mgat4a",1,"chr1:37496184-37593104",7.02679
,"4930594C11Rik",1,"chr1:37542695-37545450",1.88953
,"2010300C02Rik",1,"chr1:37668520-37776656",0.174481
,"Tsga10",1,"chr1:37811620-37921924",1.49502
,"Lipt1",1,"chr1:37929050-37933143",2.93495
,"Mitd1",1,"chr1:37935734-37947256",28.9826
,"Mrpl30",1,"chr1:37947397-37955178",48.0617
,"Lyg2",1,"chr1:37962767-37973338",0
,"Lyg1",1,"chr1:38003582-38014604",0
,"Txndc9",1,"chr1:38040711-38054053",5.76077
,"Eif5b",1,"chr1:38054854-38112424",28.8164
,"Rev1",1,"chr1:38109630-38186507",13.1476
,"Aff3",1,"chr1:38234171-38721800",5.87943
,"Lonrf2",1,"chr1:38851353-38878060",0.035024
,"Chst10",1,"chr1:38920717-38955005",3.08788
,"Nms",1,"chr1:38995993-39007121",0
,"Pdcl3",1,"chr1:39044658-39054081",18.1973
,"Npas2",1,"chr1:39251116-39420085",0.300459
,"Rpl31",1,"chr1:39424695-39428755",9.989323
,"Tbc1d8",1,"chr1:39428341-39535592",12.0229
,"D1Bwg0212e",1,"chr1:39592646-39603722",10.2977
,"Snord89",1,"chr1:39605591-39605685",187.746
,"Rnf149",1,"chr1:39608143-39634192",12.2195
,"Creg2",1,"chr1:39675250-39708027",0.015253
,"Rfx8",1,"chr1:39722145-39777834",0.047491
,"Gm3646",1,"chr1:39860985-39862177",0
,"1700066B17Rik",1,"chr1:39899272-39904175",0
,"Map4k4",1,"chr1:39957757-40083155",14.28278
,"Gm16894",1,"chr1:40133056-40142696",0
,"Il1r2",1,"chr1:40141612-40182070",1.34731
,"Il1r1",1,"chr1:40281924-40373022",5.177215
,"Il1rl2",1,"chr1:40381471-40422316",2.71116
,"Il1rl1",1,"chr1:40496493-40522259",8.42888
,"Il18r1",1,"chr1:40522396-40557699",5.629723
,"Il18rap",1,"chr1:40572206-40606142",3.55917
,"Slc9a4",1,"chr1:40637071-40687576",0
,"Slc9a2",1,"chr1:40738556-40825730",0.129711
,"Mfsd9",1,"chr1:40828884-40847502",3.69005
,"Tmem182",1,"chr1:40862445-40912112",0
,"4930448I06Rik",1,"chr1:41224404-41238097",0
,"2610017I09Rik",1,"chr1:42705044-42751670",0
,"Pou3f3",1,"chr1:42753990-42757054",0
,"2900092D14Rik",1,"chr1:42757180-42760021",0
,"Mrps9",1,"chr1:42908077-42962528",24.8415
,"Gpr45",1,"chr1:43009716-43092294",0.011669
,"Tgfbrap1",1,"chr1:43104113-43155467",6.91952
,"AI597479",1,"chr1:43155554-43172791",8.02613
,"Fhl2",1,"chr1:43179918-43220806",1.44316
,"Nck2",1,"chr1:43502595-43627363",6.00614
,"1500015O10Rik",1,"chr1:43787446-43799409",4.29657
,"Uxs1",1,"chr1:43807075-43884553",8.17047
,"Tpp2",1,"chr1:43990851-44059816",24.9185
,"A530098C11Rik",1,"chr1:44066252-44076851",0.289877
,"1700029F09Rik",1,"chr1:44143461-44159233",28.121
,"Kdelc1",1,"chr1:44163390-44175618",8.61084
,"Bivm",1,"chr1:44176812-44201616",4.25737
,"Ercc5",1,"chr1:44204588-44238105",8.78848
,"4832428D23Rik",1,"chr1:44260914-44275776",0
,"Gulp1",1,"chr1:44608515-44853681",3.67799
,"4930521E06Rik",1,"chr1:44796519-44801794",0
,"Col3a1",1,"chr1:45368382-45406551",21.6609
,"Col5a2",1,"chr1:45431175-45560127",5.32472
,"Wdr75",1,"chr1:45852345-45880458",34.5068
,"Slc40a1",1,"chr1:45964914-45982439",272.651
,"Gm3852",1,"chr1:46068391-46069108",0
,"Gm4776",1,"chr1:46077259-46087282",0
,"Dnahc7b",1,"chr1:46123582-46430395",0.003523
,"Slc39a10",1,"chr1:46864388-46910354",6.62842
,"Tmeff2",1,"chr1:50984366-51244114",0.040824
,"9330175M20Rik",1,"chr1:51275229-51390623",0
,"Sdpr",1,"chr1:51345969-51359804",31.7662
,"Obfc2a",1,"chr1:51526331-51535243",14.5916
,"Myo1b",1,"chr1:51806609-51972818",2.371344
,"Stat4",1,"chr1:52065087-52164028",12.1201
,"Stat1",1,"chr1:52176281-52218709",105.2673
,"Gls",1,"chr1:52220293-52290076",31.51962
,"Nab1",1,"chr1:52512692-52557292",7.95001
,"Tmem194b",1,"chr1:52687548-52708763",9.838784
,"Mfsd6",1,"chr1:52713147-52784162",1.935985
,"Inpp1",1,"chr1:52846263-52874532",6.70862
,"Hibch",1,"chr1:52901889-52977704",16.1748
,"1700019D03Rik",1,"chr1:52981970-53009684",0.135189
,"Mstn",1,"chr1:53118506-53124923",0.017214
,"1700019A02Rik",1,"chr1:53215420-53244461",0.100562
,"Pms1",1,"chr1:53246031-53353840",7.16767
,"Ormdl1",1,"chr1:53353938-53367089",10.8297
,"Osgepl1",1,"chr1:53370506-53380908",13.3555
,"Asnsd1",1,"chr1:53401487-53409543",51.4872
,"Dnahc7a",1,"chr1:53453845-53763628",0
,"Stk17b",1,"chr1:53812355-53842059",73.8444
,"Hecw2",1,"chr1:53863717-54251878",0.587144
,"Ccdc150",1,"chr1:54307526-54425571",0.165776
,"Gtf3c3",1,"chr1:54454424-54495815",5.28475
,"Pgap1",1,"chr1:54529843-54614528",2.59955
,"Ankrd44",1,"chr1:54702183-54983231",12.8025
,"Sf3b1",1,"chr1:55042012-55084322",121.968
,"Coq10b",1,"chr1:55109613-55129546",7.57442
,"Hspd1",1,"chr1:55134677-55144776",33.2316
,"Hspe1",1,"chr1:55144991-55148161",34.7229
,"Mob4",1,"chr1:55188088-55211743",15.4067
,"Rftn2",1,"chr1:55227003-55283626",0.933866
,"Mars2",1,"chr1:55294020-55296902",6.11673
,"Boll",1,"chr1:55356912-55420313",0.051458
,"Plcl1",1,"chr1:55462789-55811129",0.833126
,"9130227L01Rik",1,"chr1:55988084-56028942",0
,"Hsfy2",1,"chr1:56692892-56694295",0
,"Satb2",1,"chr1:56850824-57028178",0.176316
,"9130024F11Rik",1,"chr1:57028312-57032040",0.024213
,"BC055402",1,"chr1:57257488-57271840",0
,"4930558J18Rik",1,"chr1:57416065-57434388",1.50005
,"1700066M21Rik",1,"chr1:57434463-57442266",3.95693
,"1110034B05Rik",1,"chr1:57445087-57463518",8.812394
,"9430016H08Rik",1,"chr1:57463391-57472802",10.6008
,"Spats2l",1,"chr1:57831704-58005241",1.338258
,"Kctd18",1,"chr1:58011944-58026928",7.274841
,"Sgol2",1,"chr1:58042183-58083121",16.76532
,"Aox1",1,"chr1:58086812-58163254",1.65435
,"Aox3",1,"chr1:58169979-58257296",0.082129
,"Aox4",1,"chr1:58267240-58325440",0.223719
,"Aox3l1",1,"chr1:58335169-58436108",0.027997
,"Bzw1",1,"chr1:58449979-58463392",64.2051
,"Clk1",1,"chr1:58468831-58480932",165.5719
,"Ppil3",1,"chr1:58487836-58502330",31.23088
,"Nif3l1",1,"chr1:58504476-58519120",13.9247
,"Orc2",1,"chr1:58519614-58561763",54.2989
,"Fam126b",1,"chr1:58579649-58643177",3.09583
,"Ndufb3",1,"chr1:58643442-58652792",59.2102
,"Gm20257",1,"chr1:58709484-58712675",4.36453
,"Als2cr12",1,"chr1:58714963-58752833",1.30519
,"Cflar",1,"chr1:58770129-58815726",13.9332
,"Casp8",1,"chr1:58852217-58904347",23.4006
,"Trak2",1,"chr1:58957293-59030326",118.517
,"Stradb",1,"chr1:59030414-59051965",57.7101
,"Als2cr11",1,"chr1:59107349-59151744",0
,"Als2cr4",1,"chr1:59157436-59176940",2.075827
,"Mpp4",1,"chr1:59177778-59220233",0.019919
,"Als2",1,"chr1:59219599-59294075",5.079781
,"Cdk15",1,"chr1:59313750-59409213",0.10047
,"Fzd7",1,"chr1:59538990-59543799",4.89214
,"Gm973",1,"chr1:59573107-59691353",0.050324
,"Sumo1",1,"chr1:59696277-59727678",23.3127
,"Nop58",1,"chr1:59741849-59768354",100.912
,"Snord70",1,"chr1:59748801-59748854",691.575
,"Snord11",1,"chr1:59761651-59761714",133.509
,"Bmpr2",1,"chr1:59821480-59927703",2.8803
,"Fam117b",1,"chr1:59969849-60042190",7.39981
,"Ica1l",1,"chr1:60045911-60099931",0.433314
,"Wdr12",1,"chr1:60133711-60155344",11.761121
,"Carf",1,"chr1:60155124-60207878",2.1683
,"Nbeal1",1,"chr1:60237442-60391549",1.67059
,"Cyp20a1",1,"chr1:60400215-60444231",8.87518
,"Abi2",1,"chr1:60466462-60538007",1.984452
,"Raph1",1,"chr1:60540028-60623609",3.43763
,"Cd28",1,"chr1:60803231-60830203",4.82362
,"Ctla4",1,"chr1:60965868-60972674",1.62976
,"Icos",1,"chr1:61034757-61057164",4.322
,"9530026F06Rik",1,"chr1:61435275-61452748",0
,"Pard3b",1,"chr1:61685397-62688858",0.870346
,"Nrp2",1,"chr1:62749890-62865266",3.288002
,"4930487H11Rik",1,"chr1:62837491-62841306",0.246558
,"Ino80d",1,"chr1:63094374-63160841",6.26575
,"Gm11602",1,"chr1:63161044-63204869",1.764544
,"Ndufs1",1,"chr1:63190165-63223396",67.06826
,"Eef1b2",1,"chr1:63223404-63227060",264.924
,"Snora41",1,"chr1:63225596-63225709",34.5991
,"Gpr1",1,"chr1:63229267-63260783",0.030477
,"Zdbf2",1,"chr1:63319842-63361149",0.017184
,"Adam23",1,"chr1:63492477-63643089",4.222212
,"Dytn",1,"chr1:63669424-63733501",0
,"Mdh1b",1,"chr1:63745400-63776892",0
,"Fastkd2",1,"chr1:63777198-63799959",11.9409
,"4933402D24Rik",1,"chr1:63801482-63815841",0.027475
,"Gm13749",1,"chr1:64011300-64015573",0
,"Klf7",1,"chr1:64082246-64167963",3.88546
,"Creb1",1,"chr1:64579377-64651122",16.792475
,"Mettl21a",1,"chr1:64653053-64663742",3.9849
,"2810408I11Rik",1,"chr1:64726442-64737233",10.2851
,"Ccnyl1",1,"chr1:64737918-64772216",0.940643
,"Fzd5",1,"chr1:64777131-64784324",2.959684
,"Plekhm3",1,"chr1:64835694-65003398",4.45724
,"Akr1cl",1,"chr1:65059659-65079322",0.704898
,"Cryge",1,"chr1:65095130-65097737",0
,"Crygd",1,"chr1:65108411-65110014",0
,"Crygc",1,"chr1:65118105-65120095",0
,"Crygb",1,"chr1:65126800-65128841",0
,"Cryga",1,"chr1:65146962-65149937",0
,"D630023F18Rik",1,"chr1:65153886-65169767",0.021584
,"Idh1",1,"chr1:65205189-65233053",25.38412
,"Pikfyve",1,"chr1:65233258-65325270",7.65762
,"Pth2r",1,"chr1:65357830-65435818",0.0386
,"Crygf",1,"chr1:65973095-65974878",0
,"Mtap2",1,"chr1:66221902-66489157",0.891165
,"Unc80",1,"chr1:66515020-66745722",0
,"Rpe",1,"chr1:66747466-66766379",22.9572
,"1110028C15Rik",1,"chr1:66765816-66864169",5.32637
,"Acadl",1,"chr1:66877426-66909841",62.1731
,"Myl1",1,"chr1:66970869-66991630",0.069464
,"Lancl1",1,"chr1:67047090-67085446",7.473208
,"Cps1",1,"chr1:67169639-67277022",0
,"Erbb4",1,"chr1:68086539-69154633",0
,"Ikzf2",1,"chr1:69577783-69732534",2.21309
,"Spag16",1,"chr1:69873561-70771706",0
,"Vwc2l",1,"chr1:70772288-70931971",0
,"Bard1",1,"chr1:71074108-71149546",10.5533
,"Abca12",1,"chr1:71289663-71461484",0.005256
,"Atic",1,"chr1:71603729-71625977",49.7438
,"Fn1",1,"chr1:71632096-71699745",18.9944
,"Apol7d",1,"chr1:71699908-71709417",0
,"Gm8883",1,"chr1:71934685-71937778",0
,"4933417E11Rik",1,"chr1:72005571-72051769",0
,"Mreg",1,"chr1:72205806-72258881",1.93797
,"Pecr",1,"chr1:72305746-72330888",6.47319
,"Tmem169",1,"chr1:72330946-72349569",0.06535
,"Xrcc5",1,"chr1:72353994-72441527",17.2831
,"March4",1,"chr1:72473685-72583138",0.010712
,"Smarcal1",1,"chr1:72629824-72683364",4.75143
,"Ankar",1,"chr1:72689553-72747138",0.029297
,"Rpl37a",1,"chr1:72757833-72760387",6.86574
,"Igfbp2",1,"chr1:72871053-72899045",1.21465
,"Igfbp5",1,"chr1:72904638-72921439",9.96884
,"Tnp1",1,"chr1:73061648-73062473",0
,"1700027A15Rik",1,"chr1:73062609-73072082",0
,"Pinc",1,"chr1:73437958-73454143",0
,"D530049I02Rik",1,"chr1:73445541-73477353",0
,"6030407O03Rik",1,"chr1:73664954-73911040",0
,"Tns1",1,"chr1:73956804-74171021",13.84
,"Rufy4",1,"chr1:74172114-74194804",0.689891
,"Cxcr2",1,"chr1:74200567-74207820",2.58449
,"Cxcr1",1,"chr1:74238359-74241205",0.04632
,"Arpc2",1,"chr1:74283123-74314787",158.794
,"Gpbar1",1,"chr1:74325173-74326163",0
,"Aamp",1,"chr1:74326413-74331312",51.499295
,"Pnkd",1,"chr1:74331607-74400266",3.20042
,"Tmbim1",1,"chr1:74334820-74350910",10.3944
,"Gm216",1,"chr1:74408681-74415895",0.202339
,"Slc11a1",1,"chr1:74421776-74432625",28.15
,"Ctdsp1",1,"chr1:74438182-74443859",41.8276
,"Mir26b",1,"chr1:74440883-74440968",0
,"Vil1",1,"chr1:74455957-74482134",0.043934
,"Usp37",1,"chr1:74482083-74590860",11.8458
,"Rqcd1",1,"chr1:74552633-74577416",30.3166
,"Plcd4",1,"chr1:74589462-74612551",0.085856
,"Zfp142",1,"chr1:74611701-74634602",4.70231
,"Bcs1l",1,"chr1:74634934-74639017",7.03284
,"Rnf25",1,"chr1:74640325-74647971",18.1466
,"Stk36",1,"chr1:74648028-74683467",0.169655
,"Ttll4",1,"chr1:74708327-74744547",7.14427
,"Cyp27a1",1,"chr1:74760147-74784464",18.4894
,"Prkag3",1,"chr1:74785495-74795529",0.064927
,"Wnt6",1,"chr1:74818465-74831893",0.411836
,"Wnt10a",1,"chr1:74838592-74850749",0.291264
,"Cdk5r2",1,"chr1:74901602-74904306",0
,"Fev",1,"chr1:74928082-74931982",0
,"Cryba2",1,"chr1:74936517-74939709",0
,"Mir375",1,"chr1:74947231-74947295",0
,"Ccdc108",1,"chr1:74948653-74982173",0
,"Ihh",1,"chr1:74991891-74998225",0.095208
,"Nhej1",1,"chr1:75013919-75121800",7.13837
,"Slc23a3",1,"chr1:75122115-75130464",0.36805
,"1810031K17Rik",1,"chr1:75131788-75138942",29.0717
,"Fam134a",1,"chr1:75139359-75144483",45.3013
,"Zfand2b",1,"chr1:75165219-75168200",26.555326
,"Abcb6",1,"chr1:75168214-75176857",35.5772
,"Atg9a",1,"chr1:75177439-75188497",13.9135
,"Ankzf1",1,"chr1:75188708-75195960",15.2038
,"Glb1l",1,"chr1:75194809-75207353",4.99168
,"Stk16",1,"chr1:75207403-75212181",21.5479
,"Tuba4a",1,"chr1:75211548-75215828",215.124
,"A630095N17Rik",1,"chr1:75216669-75228668",0.080163
,"Dnajb2",1,"chr1:75232997-75242267",80.294332
,"Ptprn",1,"chr1:75243615-75260783",0.768458
,"Resp18",1,"chr1:75268776-75274955",0
,"Dnpep",1,"chr1:75305139-75314212",22.63008
,"Des",1,"chr1:75356918-75364290",21.0067
,"Gm15179",1,"chr1:75364784-75371590",0.090154
,"Speg",1,"chr1:75371871-75428881",2.021681
,"Gmppa",1,"chr1:75432517-75439751",14.9415
,"Accn4",1,"chr1:75447084-75470915",0.017439
,"Chpf",1,"chr1:75471143-75476046",3.471246
,"Tmem198",1,"chr1:75476106-75482268",0.40906
,"Obsl1",1,"chr1:75482399-75503027",0.705281
,"Inha",1,"chr1:75503651-75506929",0.270897
,"Stk11ip",1,"chr1:75518103-75533910",6.54937
,"Slc4a3",1,"chr1:75542840-75556006",0.553844
,"Gm17751",1,"chr1:76485707-76498603",0
,"Epha4",1,"chr1:77363759-77511663",0.083613
,"Pax3",1,"chr1:78097841-78193711",0
,"Sgpp2",1,"chr1:78306920-78416861",0.438564
,"Farsb",1,"chr1:78421410-78485421",57.5363
,"Mogat1",1,"chr1:78507634-78534748",0.212675
,"Utp14b",1,"chr1:78654399-78664176",1.57732
,"Acsl3",1,"chr1:78654399-78704318",4.227039
,"Kcne4",1,"chr1:78813523-78816600",2.73784
,"Scg2",1,"chr1:79431243-79436665",0.0187
,"Ap1s3",1,"chr1:79603450-79668547",1.66033
,"Wdfy1",1,"chr1:79698836-79758344",6.57615
,"Mrpl44",1,"chr1:79772592-79778020",18.3452
,"Serpine2",1,"chr1:79790895-79855240",6.79691
,"Fam124b",1,"chr1:80195273-80210519",0.224683
,"Cul3",1,"chr1:80263392-80337005",53.4042
,"1700016L21Rik",1,"chr1:80442506-80472235",0
,"Dock10",1,"chr1:80497647-80755128",23.3827
,"9430031J16Rik",1,"chr1:81073891-81268226",0
,"Irs1",1,"chr1:82229679-82288014",1.30036
,"Rhbdd1",1,"chr1:82313153-82441941",5.356963
,"Col4a4",1,"chr1:82447297-82583424",0.510677
,"Col4a3",1,"chr1:82583495-82718634",0.233547
,"Mff",1,"chr1:82721492-82748964",99.9989
,"Tm4sf20",1,"chr1:82753223-82765031",0.098461
,"Agfg1",1,"chr1:82836057-82892850",35.8964
,"Slc19a3",1,"chr1:83009097-83035023",0.415805
,"Ccl20",1,"chr1:83113340-83115742",0
,"Wdr69",1,"chr1:83156336-83207147",0.0742
,"Sphkap",1,"chr1:83252355-83404775",0.22323
,"Pid1",1,"chr1:84032867-84281220",3.29054
,"Dner",1,"chr1:84366413-84692796",0.024891
,"Mir5126",1,"chr1:84692413-84692490",0
,"Trip12",1,"chr1:84717763-84835879",32.956
,"Fbxo36",1,"chr1:84836415-84897061",1.40755
,"Slc16a14",1,"chr1:84903279-84931658",0.079538
,"A530032D15Rik",1,"chr1:85084713-85106428",1.53466
,"Gm7609",1,"chr1:85196185-85210337",0.090911
,"C130026I21Rik",1,"chr1:85242918-85267141",0.506766
,"Sp110",1,"chr1:87473474-87500466",13.973785
,"Sp140",1,"chr1:87497277-87541611",7.44307
,"Sp100",1,"chr1:87546624-87606023",61.595
,"A630001G21Rik",1,"chr1:87613657-87633181",17.5063
,"Cab39",1,"chr1:87690021-87748152",48.6312
,"Itm2c",1,"chr1:87791084-87805273",51.9967
,"4933407L21Rik",1,"chr1:87825057-87828331",0.135433
,"Gpr55",1,"chr1:87836111-87857630",2.30909
,"Spata3",1,"chr1:87918516-87926533",0
,"2810459M11Rik",1,"chr1:87942437-87952031",0.040948
,"Psmd1",1,"chr1:87961193-88035870",61.7404
,"Htr2b",1,"chr1:87995611-88008545",0.091323
,"Armc9",1,"chr1:88051354-88174859",4.21503
,"B3gnt7",1,"chr1:88199795-88203880",0.642235
,"Ncl",1,"chr1:88241293-88256030",142.723
,"Snora75",1,"chr1:88247744-88247860",156.7
,"Snord82",1,"chr1:88252834-88252902",0
,"C130036L24Rik",1,"chr1:88256148-88264539",0.521756
,"Nmur1",1,"chr1:88282899-88284716",0
,"1700019O17Rik",1,"chr1:88322903-88324624",0
,"Ptma",1,"chr1:88423310-88427273",27.5213
,"Pde6d",1,"chr1:88439589-88479076",28.0723
,"Cops7b",1,"chr1:88483674-88503075",13.8662
,"Nppc",1,"chr1:88562867-88567148",0.10169
,"Dis3l2",1,"chr1:88600378-88946672",8.050651
,"Alppl2",1,"chr1:88983265-88986503",0
,"Alpi",1,"chr1:88994576-88998181",0
,"Akp3",1,"chr1:89021582-89024487",0
